PERIODO,PAGO,INTERES,ABONO,CAPITAL PAGADO,SALDO INSOLUTO
0,0.00,0.00,0.00,0.00,510000.00
1,5245.92,5100.00,145.92,145.92,509854.08
2,5245.92,5098.54,147.38,293.31,509706.69
3,5245.92,5097.07,148.86,442.17,509557.83
4,5245.92,5095.58,150.35,592.51,509407.49
5,5245.92,5094.07,151.85,744.36,509255.64
6,5245.92,5092.56,153.37,897.73,509102.27
7,5245.92,5091.02,154.90,1052.63,508947.37
8,5245.92,5089.47,156.45,1209.08,508790.92
9,5245.92,5087.91,158.02,1367.10,508632.90
10,5245.92,5086.33,159.60,1526.69,508473.31
11,5245.92,5084.73,161.19,1687.88,508312.12
12,5245.92,5083.12,162.80,1850.68,508149.32
13,5245.92,5081.49,164.43,2015.12,507984.88
14,5245.92,5079.85,166.08,2181.19,507818.81
15,5245.92,5078.19,167.74,2348.93,507651.07
16,5245.92,5076.51,169.41,2518.34,507481.66
17,5245.92,5074.82,171.11,2689.45,507310.55
18,5245.92,5073.11,172.82,2862.27,507137.73
19,5245.92,5071.38,174.55,3036.81,506963.19
20,5245.92,5069.63,176.29,3213.11,506786.89
21,5245.92,5067.87,178.06,3391.16,506608.84
22,5245.92,5066.09,179.84,3571.00,506429.00
23,5245.92,5064.29,181.63,3752.63,506247.37
24,5245.92,5062.47,183.45,3936.08,506063.92
25,5245.92,5060.64,185.29,4121.37,505878.63
26,5245.92,5058.79,187.14,4308.51,505691.49
27,5245.92,5056.91,189.01,4497.51,505502.49
28,5245.92,5055.02,190.90,4688.41,505311.59
29,5245.92,5053.12,192.81,4881.22,505118.78
30,5245.92,5051.19,194.74,5075.96,504924.04
31,5245.92,5049.24,196.68,5272.64,504727.36
32,5245.92,5047.27,198.65,5471.29,504528.71
33,5245.92,5045.29,200.64,5671.93,504328.07
34,5245.92,5043.28,202.64,5874.57,504125.43
35,5245.92,5041.25,204.67,6079.24,503920.76
36,5245.92,5039.21,206.72,6285.96,503714.04
37,5245.92,5037.14,208.78,6494.74,503505.26
38,5245.92,5035.05,210.87,6705.62,503294.38
39,5245.92,5032.94,212.98,6918.60,503081.40
40,5245.92,5030.81,215.11,7133.71,502866.29
41,5245.92,5028.66,217.26,7350.97,502649.03
42,5245.92,5026.49,219.43,7570.40,502429.60
43,5245.92,5024.30,221.63,7792.03,502207.97
44,5245.92,5022.08,223.84,8015.88,501984.12
45,5245.92,5019.84,226.08,8241.96,501758.04
46,5245.92,5017.58,228.34,8470.30,501529.70
47,5245.92,5015.30,230.63,8700.93,501299.07
48,5245.92,5012.99,232.93,8933.86,501066.14
49,5245.92,5010.66,235.26,9169.13,500830.87
50,5245.92,5008.31,237.62,9406.74,500593.26
51,5245.92,5005.93,239.99,9646.73,500353.27
52,5245.92,5003.53,242.39,9889.12,500110.88
53,5245.92,5001.11,244.82,10133.94,499866.06
54,5245.92,4998.66,247.26,10381.20,499618.80
55,5245.92,4996.19,249.74,10630.94,499369.06
56,5245.92,4993.69,252.23,10883.17,499116.83
57,5245.92,4991.17,254.76,11137.93,498862.07
58,5245.92,4988.62,257.30,11395.23,498604.77
59,5245.92,4986.05,259.88,11655.11,498344.89
60,5245.92,4983.45,262.48,11917.58,498082.42
61,5245.92,4980.82,265.10,12182.68,497817.32
62,5245.92,4978.17,267.75,12450.44,497549.56
63,5245.92,4975.50,270.43,12720.86,497279.14
64,5245.92,4972.79,273.13,12994.00,497006.00
65,5245.92,4970.06,275.86,13269.86,496730.14
66,5245.92,4967.30,278.62,13548.48,496451.52
67,5245.92,4964.52,281.41,13829.89,496170.11
68,5245.92,4961.70,284.22,14114.12,495885.88
69,5245.92,4958.86,287.07,14401.18,495598.82
70,5245.92,4955.99,289.94,14691.12,495308.88
71,5245.92,4953.09,292.84,14983.95,495016.05
72,5245.92,4950.16,295.76,15279.72,494720.28
73,5245.92,4947.20,298.72,15578.44,494421.56
74,5245.92,4944.22,301.71,15880.15,494119.85
75,5245.92,4941.20,304.73,16184.87,493815.13
76,5245.92,4938.15,307.77,16492.65,493507.35
77,5245.92,4935.07,310.85,16803.50,493196.50
78,5245.92,4931.97,313.96,17117.46,492882.54
79,5245.92,4928.83,317.10,17434.56,492565.44
80,5245.92,4925.65,320.27,17754.82,492245.18
81,5245.92,4922.45,323.47,18078.30,491921.70
82,5245.92,4919.22,326.71,18405.00,491595.00
83,5245.92,4915.95,329.97,18734.98,491265.02
84,5245.92,4912.65,333.27,19068.25,490931.75
85,5245.92,4909.32,336.61,19404.86,490595.14
86,5245.92,4905.95,339.97,19744.83,490255.17
87,5245.92,4902.55,343.37,20088.21,489911.79
88,5245.92,4899.12,346.81,20435.01,489564.99
89,5245.92,4895.65,350.27,20785.29,489214.71
90,5245.92,4892.15,353.78,21139.06,488860.94
91,5245.92,4888.61,357.31,21496.38,488503.62
92,5245.92,4885.04,360.89,21857.27,488142.73
93,5245.92,4881.43,364.50,22221.76,487778.24
94,5245.92,4877.78,368.14,22589.90,487410.10
95,5245.92,4874.10,371.82,22961.73,487038.27
96,5245.92,4870.38,375.54,23337.27,486662.73
97,5245.92,4866.63,379.30,23716.57,486283.43
98,5245.92,4862.83,383.09,24099.66,485900.34
99,5245.92,4859.00,386.92,24486.58,485513.42
100,5245.92,4855.13,390.79,24877.37,485122.63
101,5245.92,4851.23,394.70,25272.06,484727.94
102,5245.92,4847.28,398.64,25670.71,484329.29
103,5245.92,4843.29,402.63,26073.34,483926.66
104,5245.92,4839.27,406.66,26480.00,483520.00
105,5245.92,4835.20,410.72,26890.72,483109.28
106,5245.92,4831.09,414.83,27305.55,482694.45
107,5245.92,4826.94,418.98,27724.53,482275.47
108,5245.92,4822.75,423.17,28147.70,481852.30
109,5245.92,4818.52,427.40,28575.11,481424.89
110,5245.92,4814.25,431.68,29006.78,480993.22
111,5245.92,4809.93,435.99,29442.77,480557.23
112,5245.92,4805.57,440.35,29883.12,480116.88
113,5245.92,4801.17,444.76,30327.88,479672.12
114,5245.92,4796.72,449.20,30777.08,479222.92
115,5245.92,4792.23,453.70,31230.78,478769.22
116,5245.92,4787.69,458.23,31689.01,478310.99
117,5245.92,4783.11,462.81,32151.82,477848.18
118,5245.92,4778.48,467.44,32619.27,477380.73
119,5245.92,4773.81,472.12,33091.38,476908.62
120,5245.92,4769.09,476.84,33568.22,476431.78
121,5245.92,4764.32,481.61,34049.83,475950.17
122,5245.92,4759.50,486.42,34536.25,475463.75
123,5245.92,4754.64,491.29,35027.54,474972.46
124,5245.92,4749.72,496.20,35523.74,474476.26
125,5245.92,4744.76,501.16,36024.90,473975.10
126,5245.92,4739.75,506.17,36531.07,473468.93
127,5245.92,4734.69,511.23,37042.31,472957.69
128,5245.92,4729.58,516.35,37558.65,472441.35
129,5245.92,4724.41,521.51,38080.17,471919.83
130,5245.92,4719.20,526.73,38606.89,471393.11
131,5245.92,4713.93,531.99,39138.88,470861.12
132,5245.92,4708.61,537.31,39676.20,470323.80
133,5245.92,4703.24,542.69,40218.88,469781.12
