PERIODO,PAGO,INTERES,ABONO,CAPITAL PAGADO,SALDO INSOLUTO
0,0.00,0.00,0.00,0.00,504778.97
1,5192.22,5047.79,144.43,144.43,504634.54
2,5192.22,5046.35,145.87,290.31,504488.66
3,5192.22,5044.89,147.33,437.64,504341.33
4,5192.22,5043.41,148.81,586.45,504192.52
5,5192.22,5041.93,150.29,736.74,504042.23
6,5192.22,5040.42,151.80,888.54,503890.43
7,5192.22,5038.90,153.32,1041.85,503737.12
8,5192.22,5037.37,154.85,1196.70,503582.27
9,5192.22,5035.82,156.40,1353.10,503425.87
10,5192.22,5034.26,157.96,1511.06,503267.91
11,5192.22,5032.68,159.54,1670.60,503108.37
12,5192.22,5031.08,161.14,1831.74,502947.23
13,5192.22,5029.47,162.75,1994.49,502784.48
14,5192.22,5027.84,164.38,2158.86,502620.11
15,5192.22,5026.20,166.02,2324.88,502454.09
16,5192.22,5024.54,167.68,2492.56,502286.41
17,5192.22,5022.86,169.36,2661.92,502117.05
18,5192.22,5021.17,171.05,2832.97,501946.00
19,5192.22,5019.46,172.76,3005.73,501773.24
20,5192.22,5017.73,174.49,3180.21,501598.76
21,5192.22,5015.99,176.23,3356.45,501422.52
22,5192.22,5014.23,177.99,3534.44,501244.53
23,5192.22,5012.45,179.77,3714.22,501064.75
24,5192.22,5010.65,181.57,3895.79,500883.18
25,5192.22,5008.83,183.39,4079.18,500699.79
26,5192.22,5007.00,185.22,4264.40,500514.57
27,5192.22,5005.15,187.07,4451.47,500327.50
28,5192.22,5003.27,188.95,4640.42,500138.55
29,5192.22,5001.39,190.83,4831.25,499947.72
30,5192.22,4999.48,192.74,5023.99,499754.98
31,5192.22,4997.55,194.67,5218.67,499560.30
32,5192.22,4995.60,196.62,5415.28,499363.69
33,5192.22,4993.64,198.58,5613.87,499165.10
34,5192.22,4991.65,200.57,5814.43,498964.54
35,5192.22,4989.65,202.57,6017.01,498761.96
36,5192.22,4987.62,204.60,6221.61,498557.36
37,5192.22,4985.57,206.65,6428.26,498350.71
38,5192.22,4983.51,208.71,6636.97,498142.00
39,5192.22,4981.42,210.80,6847.77,497931.20
40,5192.22,4979.31,212.91,7060.68,497718.29
41,5192.22,4977.18,215.04,7275.71,497503.26
42,5192.22,4975.03,217.19,7492.90,497286.07
43,5192.22,4972.86,219.36,7712.26,497066.71
44,5192.22,4970.67,221.55,7933.81,496845.16
45,5192.22,4968.45,223.77,8157.58,496621.39
46,5192.22,4966.21,226.01,8383.59,496395.38
47,5192.22,4963.95,228.27,8611.86,496167.11
48,5192.22,4961.67,230.55,8842.40,495936.57
49,5192.22,4959.37,232.85,9075.26,495703.71
50,5192.22,4957.04,235.18,9310.44,495468.53
51,5192.22,4954.69,237.53,9547.98,495230.99
52,5192.22,4952.31,239.91,9787.89,494991.08
53,5192.22,4949.91,242.31,10030.20,494748.77
54,5192.22,4947.49,244.73,10274.93,494504.04
55,5192.22,4945.04,247.18,10522.11,494256.86
56,5192.22,4942.57,249.65,10771.76,494007.21
57,5192.22,4940.07,252.15,11023.91,493755.06
58,5192.22,4937.55,254.67,11278.58,493500.39
59,5192.22,4935.00,257.22,11535.79,493243.18
60,5192.22,4932.43,259.79,11795.58,492983.39
61,5192.22,4929.83,262.39,12057.97,492721.00
62,5192.22,4927.21,265.01,12322.98,492455.99
63,5192.22,4924.56,267.66,12590.64,492188.33
64,5192.22,4921.88,270.34,12860.97,491918.00
65,5192.22,4919.18,273.04,13134.01,491644.96
66,5192.22,4916.45,275.77,13409.78,491369.19
67,5192.22,4913.69,278.53,13688.31,491090.66
68,5192.22,4910.91,281.31,13969.63,490809.34
69,5192.22,4908.09,284.13,14253.75,490525.22
70,5192.22,4905.25,286.97,14540.72,490238.25
71,5192.22,4902.38,289.84,14830.56,489948.41
72,5192.22,4899.48,292.74,15123.29,489655.68
73,5192.22,4896.56,295.66,15418.96,489360.01
74,5192.22,4893.60,298.62,15717.58,489061.39
75,5192.22,4890.61,301.61,16019.18,488759.79
76,5192.22,4887.60,304.62,16323.81,488455.16
77,5192.22,4884.55,307.67,16631.47,488147.50
78,5192.22,4881.47,310.75,16942.22,487836.75
79,5192.22,4878.37,313.85,17256.07,487522.90
80,5192.22,4875.23,316.99,17573.06,487205.91
81,5192.22,4872.06,320.16,17893.22,486885.75
82,5192.22,4868.86,323.36,18216.59,486562.38
83,5192.22,4865.62,326.60,18543.18,486235.79
84,5192.22,4862.36,329.86,18873.05,485905.92
85,5192.22,4859.06,333.16,19206.21,485572.76
86,5192.22,4855.73,336.49,19542.70,485236.27
87,5192.22,4852.36,339.86,19882.56,484896.41
88,5192.22,4848.96,343.26,20225.81,484553.16
89,5192.22,4845.53,346.69,20572.50,484206.47
90,5192.22,4842.06,350.16,20922.66,483856.31
91,5192.22,4838.56,353.66,21276.31,483502.66
92,5192.22,4835.03,357.19,21633.51,483145.46
93,5192.22,4831.45,360.77,21994.27,482784.70
94,5192.22,4827.85,364.37,22358.64,482420.33
95,5192.22,4824.20,368.02,22726.66,482052.31
96,5192.22,4820.52,371.70,23098.36,481680.61
97,5192.22,4816.81,375.41,23473.77,481305.20
98,5192.22,4813.05,379.17,23852.94,480926.03
99,5192.22,4809.26,382.96,24235.90,480543.07
100,5192.22,4805.43,386.79,24622.69,480156.28
101,5192.22,4801.56,390.66,25013.35,479765.62
102,5192.22,4797.66,394.56,25407.91,479371.06
103,5192.22,4793.71,398.51,25806.42,478972.55
104,5192.22,4789.73,402.49,26208.91,478570.06
105,5192.22,4785.70,406.52,26615.43,478163.54
106,5192.22,4781.64,410.58,27026.02,477752.95
107,5192.22,4777.53,414.69,27440.71,477338.26
108,5192.22,4773.38,418.84,27859.55,476919.42
109,5192.22,4769.19,423.03,28282.57,476496.40
110,5192.22,4764.96,427.26,28709.83,476069.14
111,5192.22,4760.69,431.53,29141.36,475637.61
112,5192.22,4756.38,435.84,29577.20,475201.77
113,5192.22,4752.02,440.20,30017.40,474761.57
114,5192.22,4747.62,444.60,30462.01,474316.96
115,5192.22,4743.17,449.05,30911.06,473867.91
116,5192.22,4738.68,453.54,31364.60,473414.37
117,5192.22,4734.14,458.08,31822.68,472956.29
118,5192.22,4729.56,462.66,32285.33,472493.64
119,5192.22,4724.94,467.28,32752.62,472026.35
120,5192.22,4720.26,471.96,33224.57,471554.40
121,5192.22,4715.54,476.68,33701.25,471077.72
122,5192.22,4710.78,481.44,34182.69,470596.28
123,5192.22,4705.96,486.26,34668.95,470110.02
124,5192.22,4701.10,491.12,35160.07,469618.90
125,5192.22,4696.19,496.03,35656.10,469122.87
126,5192.22,4691.23,500.99,36157.09,468621.88
127,5192.22,4686.22,506.00,36663.09,468115.88
128,5192.22,4681.16,511.06,37174.15,467604.82
129,5192.22,4676.05,516.17,37690.33,467088.64
130,5192.22,4670.89,521.33,38211.66,466567.31
131,5192.22,4665.67,526.55,38738.21,466040.76
132,5192.22,4660.41,531.81,39270.02,465508.95
133,5192.22,4655.09,537.13,39807.15,464971.82
134,5192.22,4649.72,542.50,40349.65,464429.32
135,5192.22,4644.29,547.93,40897.58,463881.39
136,5192.22,4638.81,553.41,41450.99,463327.98
137,5192.22,4633.28,558.94,42009.93,462769.04
138,5192.22,4627.69,564.53,42574.46,462204.51
139,5192.22,4622.05,570.17,43144.63,461634.34
140,5192.22,4616.34,575.88,43720.51,461058.46
141,5192.22,4610.58,581.64,44302.14,460476.83
142,5192.22,4604.77,587.45,44889.59,459889.38
143,5192.22,4598.89,593.33,45482.92,459296.05
144,5192.22,4592.96,599.26,46082.18,458696.79
145,5192.22,4586.97,605.25,46687.43,458091.54
146,5192.22,4580.92,611.30,47298.74,457480.23
147,5192.22,4574.80,617.42,47916.15,456862.82
148,5192.22,4568.63,623.59,48539.75,456239.22
149,5192.22,4562.39,629.83,49169.57,455609.40
150,5192.22,4556.09,636.13,49805.70,454973.27
151,5192.22,4549.73,642.49,50448.19,454330.78
152,5192.22,4543.31,648.91,51097.10,453681.87
153,5192.22,4536.82,655.40,51752.50,453026.47
154,5192.22,4530.26,661.96,52414.46,452364.51
155,5192.22,4523.65,668.57,53083.03,451695.94
156,5192.22,4516.96,675.26,53758.29,451020.68
157,5192.22,4510.21,682.01,54440.31,450338.66
158,5192.22,4503.39,688.83,55129.14,449649.83
159,5192.22,4496.50,695.72,55824.86,448954.11
160,5192.22,4489.54,702.68,56527.54,448251.43
161,5192.22,4482.51,709.71,57237.25,447541.72
162,5192.22,4475.42,716.80,57954.05,446824.92
163,5192.22,4468.25,723.97,58678.02,446100.95
164,5192.22,4461.01,731.21,59409.23,445369.74
165,5192.22,4453.70,738.52,60147.75,444631.22
166,5192.22,4446.31,745.91,60893.66,443885.31
167,5192.22,4438.85,753.37,61647.03,443131.94
168,5192.22,4431.32,760.90,62407.93,442371.04
169,5192.22,4423.71,768.51,63176.44,441602.53
170,5192.22,4416.03,776.19,63952.63,440826.34
171,5192.22,4408.26,783.96,64736.59,440042.38
172,5192.22,4400.42,791.80,65528.39,439250.58
173,5192.22,4392.51,799.71,66328.10,438450.87
174,5192.22,4384.51,807.71,67135.81,437643.16
175,5192.22,4376.43,815.79,67951.60,436827.37
176,5192.22,4368.27,823.95,68775.55,436003.42
177,5192.22,4360.03,832.19,69607.73,435171.24
178,5192.22,4351.71,840.51,70448.24,434330.73
179,5192.22,4343.31,848.91,71297.15,433481.82
180,5192.22,4334.82,857.40,72154.55,432624.42
181,5192.22,4326.24,865.98,73020.53,431758.44
182,5192.22,4317.58,874.64,73895.17,430883.80
183,5192.22,4308.84,883.38,74778.55,430000.42
184,5192.22,4300.00,892.22,75670.76,429108.21
185,5192.22,4291.08,901.14,76571.90,428207.07
186,5192.22,4282.07,910.15,77482.05,427296.92
187,5192.22,4272.97,919.25,78401.30,426377.67
188,5192.22,4263.78,928.44,79329.74,425449.23
189,5192.22,4254.49,937.73,80267.47,424511.50
190,5192.22,4245.11,947.11,81214.58,423564.39
191,5192.22,4235.64,956.58,82171.15,422607.82
192,5192.22,4226.08,966.14,83137.30,421641.67
193,5192.22,4216.42,975.80,84113.10,420665.87
194,5192.22,4206.66,985.56,85098.66,419680.31
195,5192.22,4196.80,995.42,86094.08,418684.89
196,5192.22,4186.85,1005.37,87099.45,417679.52
197,5192.22,4176.80,1015.42,88114.87,416664.10
198,5192.22,4166.64,1025.58,89140.45,415638.52
199,5192.22,4156.39,1035.83,90176.29,414602.68
200,5192.22,4146.03,1046.19,91222.48,413556.49
201,5192.22,4135.56,1056.66,92279.14,412499.83
202,5192.22,4125.00,1067.22,93346.36,411432.61
203,5192.22,4114.33,1077.89,94424.25,410354.72
204,5192.22,4103.55,1088.67,95512.92,409266.05
205,5192.22,4092.66,1099.56,96612.48,408166.49
206,5192.22,4081.66,1110.56,97723.04,407055.93
207,5192.22,4070.56,1121.66,98844.70,405934.27
208,5192.22,4059.34,1132.88,99977.58,404801.39
209,5192.22,4048.01,1144.21,101121.78,403657.19
210,5192.22,4036.57,1155.65,102277.43,402501.54
211,5192.22,4025.02,1167.20,103444.64,401334.33
212,5192.22,4013.34,1178.88,104623.51,400155.46
213,5192.22,4001.55,1190.67,105814.18,398964.79
214,5192.22,3989.65,1202.57,107016.75,397762.22
215,5192.22,3977.62,1214.60,108231.35,396547.62
216,5192.22,3965.48,1226.74,109458.09,395320.88
217,5192.22,3953.21,1239.01,110697.10,394081.87
218,5192.22,3940.82,1251.40,111948.51,392830.46
219,5192.22,3928.30,1263.92,113212.42,391566.55
220,5192.22,3915.67,1276.55,114488.98,390289.99
221,5192.22,3902.90,1289.32,115778.30,389000.67
222,5192.22,3890.01,1302.21,117080.51,387698.46
223,5192.22,3876.98,1315.24,118395.74,386383.23
224,5192.22,3863.83,1328.39,119724.13,385054.84
225,5192.22,3850.55,1341.67,121065.80,383713.17
226,5192.22,3837.13,1355.09,122420.89,382358.08
227,5192.22,3823.58,1368.64,123789.53,380989.44
228,5192.22,3809.89,1382.33,125171.86,379607.11
229,5192.22,3796.07,1396.15,126568.01,378210.96
230,5192.22,3782.11,1410.11,127978.12,376800.85
231,5192.22,3768.01,1424.21,129402.33,375376.64
232,5192.22,3753.77,1438.45,130840.78,373938.19
233,5192.22,3739.38,1452.84,132293.62,372485.35
234,5192.22,3724.85,1467.37,133760.99,371017.98
235,5192.22,3710.18,1482.04,135243.03,369535.94
236,5192.22,3695.36,1496.86,136739.89,368039.08
237,5192.22,3680.39,1511.83,138251.72,366527.25
238,5192.22,3665.27,1526.95,139778.66,365000.31
239,5192.22,3650.00,1542.22,141320.88,363458.09
240,5192.22,3634.58,1557.64,142878.52,361900.45
241,5192.22,3619.00,1573.22,144451.74,360327.23
242,5192.22,3603.27,1588.95,146040.68,358738.29
243,5192.22,3587.38,1604.84,147645.52,357133.45
244,5192.22,3571.33,1620.89,149266.41,355512.56
245,5192.22,3555.13,1637.09,150903.50,353875.47
246,5192.22,3538.75,1653.47,152556.97,352222.00
247,5192.22,3522.22,1670.00,154226.97,350552.00
248,5192.22,3505.52,1686.70,155913.67,348865.30
249,5192.22,3488.65,1703.57,157617.23,347161.74
250,5192.22,3471.62,1720.60,159337.84,345441.13
251,5192.22,3454.41,1737.81,161075.64,343703.33
252,5192.22,3437.03,1755.19,162830.83,341948.14
253,5192.22,3419.48,1772.74,164603.57,340175.40
254,5192.22,3401.75,1790.47,166394.04,338384.93
255,5192.22,3383.85,1808.37,168202.41,336576.56
256,5192.22,3365.77,1826.45,170028.86,334750.11
257,5192.22,3347.50,1844.72,171873.58,332905.39
258,5192.22,3329.05,1863.17,173736.75,331042.22
259,5192.22,3310.42,1881.80,175618.54,329160.43
260,5192.22,3291.60,1900.62,177519.16,327259.81
261,5192.22,3272.60,1919.62,179438.78,325340.19
262,5192.22,3253.40,1938.82,181377.60,323401.37
263,5192.22,3234.01,1958.21,183335.81,321443.16
264,5192.22,3214.43,1977.79,185313.60,319465.37
265,5192.22,3194.65,1997.57,187311.16,317467.81
266,5192.22,3174.68,2017.54,189328.70,315450.27
267,5192.22,3154.50,2037.72,191366.42,313412.55
268,5192.22,3134.13,2058.09,193424.52,311354.45
269,5192.22,3113.54,2078.68,195503.19,309275.78
270,5192.22,3092.76,2099.46,197602.65,307176.32
271,5192.22,3071.76,2120.46,199723.11,305055.86
272,5192.22,3050.56,2141.66,201864.77,302914.20
273,5192.22,3029.14,2163.08,204027.85,300751.12
274,5192.22,3007.51,2184.71,206212.56,298566.41
275,5192.22,2985.66,2206.56,208419.11,296359.86
276,5192.22,2963.60,2228.62,210647.74,294131.23
277,5192.22,2941.31,2250.91,212898.64,291880.33
278,5192.22,2918.80,2273.42,215172.06,289606.91
279,5192.22,2896.07,2296.15,217468.21,287310.76
280,5192.22,2873.11,2319.11,219787.32,284991.65
281,5192.22,2849.92,2342.30,222129.63,282649.34
282,5192.22,2826.49,2365.73,224495.35,280283.62
283,5192.22,2802.84,2389.38,226884.74,277894.23
284,5192.22,2778.94,2413.28,229298.02,275480.95
285,5192.22,2754.81,2437.41,231735.43,273043.54
286,5192.22,2730.44,2461.78,234197.21,270581.76
287,5192.22,2705.82,2486.40,236683.61,268095.36
288,5192.22,2680.95,2511.27,239194.88,265584.09
289,5192.22,2655.84,2536.38,241731.26,263047.71
290,5192.22,2630.48,2561.74,244293.00,260485.97
291,5192.22,2604.86,2587.36,246880.36,257898.61
292,5192.22,2578.99,2613.23,249493.60,255285.37
293,5192.22,2552.85,2639.37,252132.96,252646.01
294,5192.22,2526.46,2665.76,254798.72,249980.25
295,5192.22,2499.80,2692.42,257491.14,247287.83
296,5192.22,2472.88,2719.34,260210.48,244568.49
297,5192.22,2445.68,2746.54,262957.02,241821.95
298,5192.22,2418.22,2774.00,265731.02,239047.95
299,5192.22,2390.48,2801.74,268532.76,236246.21
300,5192.22,2362.46,2829.76,271362.52,233416.45
301,5192.22,2334.16,2858.06,274220.57,230558.40
302,5192.22,2305.58,2886.64,277107.21,227671.76
303,5192.22,2276.72,2915.50,280022.71,224756.26
304,5192.22,2247.56,2944.66,282967.37,221811.60
305,5192.22,2218.12,2974.10,285941.47,218837.50
306,5192.22,2188.37,3003.85,288945.32,215833.65
307,5192.22,2158.34,3033.88,291979.20,212799.77
308,5192.22,2128.00,3064.22,295043.42,209735.55
309,5192.22,2097.36,3094.86,298138.29,206640.68
310,5192.22,2066.41,3125.81,301264.10,203514.87
311,5192.22,2035.15,3157.07,304421.17,200357.80
312,5192.22,2003.58,3188.64,307609.82,197169.15
313,5192.22,1971.69,3220.53,310830.34,193948.63
314,5192.22,1939.49,3252.73,314083.08,190695.89
315,5192.22,1906.96,3285.26,317368.34,187410.63
316,5192.22,1874.11,3318.11,320686.45,184092.52
317,5192.22,1840.93,3351.29,324037.75,180741.22
318,5192.22,1807.41,3384.81,327422.56,177356.41
319,5192.22,1773.56,3418.66,330841.21,173937.76
320,5192.22,1739.38,3452.84,334294.05,170484.92
321,5192.22,1704.85,3487.37,337781.42,166997.55
322,5192.22,1669.98,3522.24,341303.67,163475.30
323,5192.22,1634.75,3557.47,344861.14,159917.83
324,5192.22,1599.18,3593.04,348454.18,156324.79
325,5192.22,1563.25,3628.97,352083.15,152695.82
326,5192.22,1526.96,3665.26,355748.41,149030.56
327,5192.22,1490.31,3701.91,359450.33,145328.64
328,5192.22,1453.29,3738.93,363189.26,141589.71
329,5192.22,1415.90,3776.32,366965.58,137813.39
330,5192.22,1378.13,3814.09,370779.67,133999.30
