PERIODO,PAGO,INTERES,ABONO,CAPITAL PAGADO,SALDO INSOLUTO
0,0.00,0.00,0.00,0.00,250000.00
1,1000.85,541.67,459.18,459.18,249540.82
2,1000.85,540.67,460.18,919.36,249080.64
3,1000.85,539.67,461.17,1380.53,248619.47
4,1000.85,538.68,462.17,1842.71,248157.29
5,1000.85,537.67,463.18,2305.88,247694.12
6,1000.85,536.67,464.18,2770.06,247229.94
7,1000.85,535.66,465.18,3235.25,246764.75
8,1000.85,534.66,466.19,3701.44,246298.56
9,1000.85,533.65,467.20,4168.64,245831.36
10,1000.85,532.63,468.21,4636.86,245363.14
11,1000.85,531.62,469.23,5106.09,244893.91
12,1000.85,530.60,470.25,5576.33,244423.67
13,1000.85,529.58,471.26,6047.60,243952.40
14,1000.85,528.56,472.29,6519.88,243480.12
15,1000.85,527.54,473.31,6993.19,243006.81
16,1000.85,526.51,474.33,7467.52,242532.48
17,1000.85,525.49,475.36,7942.89,242057.11
18,1000.85,524.46,476.39,8419.28,241580.72
19,1000.85,523.42,477.42,8896.70,241103.30
20,1000.85,522.39,478.46,9375.16,240624.84
21,1000.85,521.35,479.50,9854.66,240145.34
22,1000.85,520.31,480.53,10335.19,239664.81
23,1000.85,519.27,481.58,10816.77,239183.23
24,1000.85,518.23,482.62,11299.39,238700.61
25,1000.85,517.18,483.66,11783.05,238216.95
26,1000.85,516.14,484.71,12267.76,237732.24
27,1000.85,515.09,485.76,12753.53,237246.47
28,1000.85,514.03,486.82,13240.34,236759.66
29,1000.85,512.98,487.87,13728.21,236271.79
30,1000.85,511.92,488.93,14217.14,235782.86
31,1000.85,510.86,489.99,14707.13,235292.87
32,1000.85,509.80,491.05,15198.17,234801.83
33,1000.85,508.74,492.11,15690.29,234309.71
34,1000.85,507.67,493.18,16183.46,233816.54
35,1000.85,506.60,494.25,16677.71,233322.29
36,1000.85,505.53,495.32,17173.03,232826.97
37,1000.85,504.46,496.39,17669.42,232330.58
38,1000.85,503.38,497.47,18166.89,231833.11
39,1000.85,502.31,498.54,18665.43,231334.57
40,1000.85,501.22,499.62,19165.05,230834.95
41,1000.85,500.14,500.71,19665.76,230334.24
42,1000.85,499.06,501.79,20167.55,229832.45
43,1000.85,497.97,502.88,20670.43,229329.57
44,1000.85,496.88,503.97,21174.40,228825.60
45,1000.85,495.79,505.06,21679.46,228320.54
46,1000.85,494.69,506.15,22185.62,227814.38
47,1000.85,493.60,507.25,22692.87,227307.13
48,1000.85,492.50,508.35,23201.22,226798.78
49,1000.85,491.40,509.45,23710.67,226289.33
50,1000.85,490.29,510.56,24221.23,225778.77
51,1000.85,489.19,511.66,24732.89,225267.11
52,1000.85,488.08,512.77,25245.66,224754.34
53,1000.85,486.97,513.88,25759.54,224240.46
54,1000.85,485.85,514.99,26274.53,223725.47
55,1000.85,484.74,516.11,26790.64,223209.36
56,1000.85,483.62,517.23,27307.87,222692.13
57,1000.85,482.50,518.35,27826.22,222173.78
58,1000.85,481.38,519.47,28345.70,221654.30
59,1000.85,480.25,520.60,28866.29,221133.71
60,1000.85,479.12,521.73,29388.02,220611.98
61,1000.85,477.99,522.86,29910.88,220089.12
62,1000.85,476.86,523.99,30434.87,219565.13
63,1000.85,475.72,525.12,30959.99,219040.01
64,1000.85,474.59,526.26,31486.25,218513.75
65,1000.85,473.45,527.40,32013.66,217986.34
66,1000.85,472.30,528.55,32542.20,217457.80
67,1000.85,471.16,529.69,33071.89,216928.11
68,1000.85,470.01,530.84,33602.73,216397.27
69,1000.85,468.86,531.99,34134.72,215865.28
70,1000.85,467.71,533.14,34667.86,215332.14
71,1000.85,466.55,534.30,35202.16,214797.84
72,1000.85,465.40,535.45,35737.61,214262.39
73,1000.85,464.24,536.61,36274.23,213725.77
74,1000.85,463.07,537.78,36812.00,213188.00
75,1000.85,461.91,538.94,37350.94,212649.06
76,1000.85,460.74,540.11,37891.05,212108.95
77,1000.85,459.57,541.28,38432.33,211567.67
78,1000.85,458.40,542.45,38974.79,211025.21
79,1000.85,457.22,543.63,39518.41,210481.59
80,1000.85,456.04,544.81,40063.22,209936.78
81,1000.85,454.86,545.99,40609.21,209390.79
82,1000.85,453.68,547.17,41156.38,208843.62
83,1000.85,452.49,548.35,41704.73,208295.27
84,1000.85,451.31,549.54,42254.27,207745.73
85,1000.85,450.12,550.73,42805.01,207194.99
86,1000.85,448.92,551.93,43356.93,206643.07
87,1000.85,447.73,553.12,43910.06,206089.94
88,1000.85,446.53,554.32,44464.38,205535.62
89,1000.85,445.33,555.52,45019.90,204980.10
90,1000.85,444.12,556.73,45576.63,204423.37
91,1000.85,442.92,557.93,46134.56,203865.44
92,1000.85,441.71,559.14,46693.70,203306.30
93,1000.85,440.50,560.35,47254.05,202745.95
94,1000.85,439.28,561.57,47815.62,202184.38
95,1000.85,438.07,562.78,48378.40,201621.60
96,1000.85,436.85,564.00,48942.40,201057.60
97,1000.85,435.62,565.22,49507.63,200492.37
98,1000.85,434.40,566.45,50074.08,199925.92
99,1000.85,433.17,567.68,50641.75,199358.25
100,1000.85,431.94,568.91,51210.66,198789.34
101,1000.85,430.71,570.14,51780.80,198219.20
102,1000.85,429.47,571.37,52352.17,197647.83
103,1000.85,428.24,572.61,52924.78,197075.22
104,1000.85,427.00,573.85,53498.64,196501.36
105,1000.85,425.75,575.10,54073.73,195926.27
106,1000.85,424.51,576.34,54650.08,195349.92
107,1000.85,423.26,577.59,55227.67,194772.33
108,1000.85,422.01,578.84,55806.51,194193.49
109,1000.85,420.75,580.10,56386.61,193613.39
110,1000.85,419.50,581.35,56967.96,193032.04
111,1000.85,418.24,582.61,57550.57,192449.43
112,1000.85,416.97,583.88,58134.45,191865.55
113,1000.85,415.71,585.14,58719.59,191280.41
114,1000.85,414.44,586.41,59306.00,190694.00
115,1000.85,413.17,587.68,59893.68,190106.32
116,1000.85,411.90,588.95,60482.63,189517.37
117,1000.85,410.62,590.23,61072.86,188927.14
118,1000.85,409.34,591.51,61664.36,188335.64
119,1000.85,408.06,592.79,62257.15,187742.85
120,1000.85,406.78,594.07,62851.23,187148.77
121,1000.85,405.49,595.36,63446.59,186553.41
122,1000.85,404.20,596.65,64043.24,185956.76
123,1000.85,402.91,597.94,64641.18,185358.82
124,1000.85,401.61,599.24,65240.42,184759.58
125,1000.85,400.31,600.54,65840.96,184159.04
126,1000.85,399.01,601.84,66442.79,183557.21
127,1000.85,397.71,603.14,67045.94,182954.06
128,1000.85,396.40,604.45,67650.38,182349.62
129,1000.85,395.09,605.76,68256.14,181743.86
130,1000.85,393.78,607.07,68863.21,181136.79
131,1000.85,392.46,608.39,69471.60,180528.40
132,1000.85,391.14,609.70,70081.30,179918.70
133,1000.85,389.82,611.03,70692.33,179307.67
134,1000.85,388.50,612.35,71304.68,178695.32
135,1000.85,387.17,613.68,71918.36,178081.64
136,1000.85,385.84,615.01,72533.36,177466.64
137,1000.85,384.51,616.34,73149.70,176850.30
138,1000.85,383.18,617.67,73767.37,176232.63
139,1000.85,381.84,619.01,74386.38,175613.62
140,1000.85,380.50,620.35,75006.74,174993.26
141,1000.85,379.15,621.70,75628.44,174371.56
142,1000.85,377.81,623.04,76251.48,173748.52
143,1000.85,376.46,624.39,76875.87,173124.13
144,1000.85,375.10,625.75,77501.62,172498.38
145,1000.85,373.75,627.10,78128.72,171871.28
146,1000.85,372.39,628.46,78757.18,171242.82
147,1000.85,371.03,629.82,79387.01,170612.99
148,1000.85,369.66,631.19,80018.20,169981.80
149,1000.85,368.29,632.56,80650.75,169349.25
150,1000.85,366.92,633.93,81284.68,168715.32
151,1000.85,365.55,635.30,81919.98,168080.02
152,1000.85,364.17,636.68,82556.65,167443.35
153,1000.85,362.79,638.06,83194.71,166805.29
154,1000.85,361.41,639.44,83834.15,166165.85
155,1000.85,360.03,640.82,84474.97,165525.03
156,1000.85,358.64,642.21,85117.18,164882.82
157,1000.85,357.25,643.60,85760.78,164239.22
158,1000.85,355.85,645.00,86405.78,163594.22
159,1000.85,354.45,646.40,87052.18,162947.82
160,1000.85,353.05,647.80,87699.97,162300.03
161,1000.85,351.65,649.20,88349.17,161650.83
162,1000.85,350.24,650.61,88999.78,161000.22
163,1000.85,348.83,652.02,89651.79,160348.21
164,1000.85,347.42,653.43,90305.22,159694.78
165,1000.85,346.01,654.84,90960.06,159039.94
166,1000.85,344.59,656.26,91616.33,158383.67
167,1000.85,343.16,657.68,92274.01,157725.99
168,1000.85,341.74,659.11,92933.12,157066.88
169,1000.85,340.31,660.54,93593.66,156406.34
170,1000.85,338.88,661.97,94255.63,155744.37
171,1000.85,337.45,663.40,94919.03,155080.97
172,1000.85,336.01,664.84,95583.87,154416.13
173,1000.85,334.57,666.28,96250.15,153749.85
174,1000.85,333.12,667.72,96917.88,153082.12
175,1000.85,331.68,669.17,97587.05,152412.95
176,1000.85,330.23,670.62,98257.67,151742.33
177,1000.85,328.78,672.07,98929.74,151070.26
178,1000.85,327.32,673.53,99603.27,150396.73
179,1000.85,325.86,674.99,100278.26,149721.74
180,1000.85,324.40,676.45,100954.72,149045.28
181,1000.85,322.93,677.92,101632.63,148367.37
182,1000.85,321.46,679.39,102312.02,147687.98
183,1000.85,319.99,680.86,102992.88,147007.12
184,1000.85,318.52,682.33,103675.21,146324.79
185,1000.85,317.04,683.81,104359.03,145640.97
186,1000.85,315.56,685.29,105044.32,144955.68
187,1000.85,314.07,686.78,105731.10,144268.90
188,1000.85,312.58,688.27,106419.36,143580.64
189,1000.85,311.09,689.76,107109.12,142890.88
190,1000.85,309.60,691.25,107800.38,142199.62
191,1000.85,308.10,692.75,108493.13,141506.87
192,1000.85,306.60,694.25,109187.38,140812.62
193,1000.85,305.09,695.76,109883.13,140116.87
194,1000.85,303.59,697.26,110580.39,139419.61
195,1000.85,302.08,698.77,111279.17,138720.83
196,1000.85,300.56,700.29,111979.46,138020.54
197,1000.85,299.04,701.80,112681.26,137318.74
198,1000.85,297.52,703.33,113384.59,136615.41
199,1000.85,296.00,704.85,114089.43,135910.57
200,1000.85,294.47,706.38,114795.81,135204.19
201,1000.85,292.94,707.91,115503.72,134496.28
202,1000.85,291.41,709.44,116213.16,133786.84
203,1000.85,289.87,710.98,116924.14,133075.86
204,1000.85,288.33,712.52,117636.65,132363.35
205,1000.85,286.79,714.06,118350.72,131649.28
206,1000.85,285.24,715.61,119066.33,130933.67
207,1000.85,283.69,717.16,119783.49,130216.51
208,1000.85,282.14,718.71,120502.20,129497.80
209,1000.85,280.58,720.27,121222.47,128777.53
210,1000.85,279.02,721.83,121944.30,128055.70
211,1000.85,277.45,723.40,122667.70,127332.30
212,1000.85,275.89,724.96,123392.66,126607.34
213,1000.85,274.32,726.53,124119.19,125880.81
214,1000.85,272.74,728.11,124847.30,125152.70
215,1000.85,271.16,729.69,125576.98,124423.02
216,1000.85,269.58,731.27,126308.25,123691.75
217,1000.85,268.00,732.85,127041.10,122958.90
218,1000.85,266.41,734.44,127775.54,122224.46
219,1000.85,264.82,736.03,128511.57,121488.43
220,1000.85,263.22,737.62,129249.19,120750.81
221,1000.85,261.63,739.22,129988.42,120011.58
222,1000.85,260.03,740.82,130729.24,119270.76
223,1000.85,258.42,742.43,131471.67,118528.33
224,1000.85,256.81,744.04,132215.71,117784.29
