PERIODO,PAGO,INTERES,ABONO,CAPITAL PAGADO,SALDO INSOLUTO
0,0.00,0.00,0.00,0.00,750000.00
1,103622.87,34462.50,69160.37,69160.37,680839.63
2,103622.87,31284.58,72338.28,141498.65,608501.35
3,103622.87,27960.64,75662.23,217160.88,532839.12
4,103622.87,24483.96,79138.91,296299.79,453700.21
5,103622.87,20847.52,82775.34,379075.13,370924.87
6,103622.87,17044.00,86578.87,465653.99,284346.01
7,103622.87,13065.70,90557.17,556211.16,193788.84
8,103622.87,8904.60,94718.27,650929.43,99070.57
9,103622.87,4552.29,99070.57,750000.00,-0.00
